,,,GGBS ,,,,,,,Fly Ash,,,,,,,Silica Fume,,,,,,,Na(OH) content and composition,,Na2SiO3 content and composition,Aggregates Composition,,,Ratio,,,,Curing Conditions,,,Sample Dimensions,,,Compressive Strength,
Paper_ID,Title,Mix_ID,GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
,,S100P4,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,14,215.2,0,0,371,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,60
,,S0N4,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,3
,,S30N4,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,35
,,S70N4,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,55
,,S100N4,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,14,215.2,0,0,371,0.5,0.28,4,2.16,20,,Ambient,50,50,50,,60
,,S0P1,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,1,2.16,20,,Ambient,50,50,50,,3
,,S0P2,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,2,2.16,20,,Ambient,50,50,50,,3
,,S0P3,0,56.1,21,17,,0.62,0.77,1176.6,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,54.1,14,196.1,0,0,338.1,0.5,0.28,3,2.16,20,,Ambient,50,50,50,,35
,,S30P1,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,1,2.16,20,,Ambient,50,50,50,,36
,,S30P2,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,2,2.16,20,,Ambient,50,50,50,,36
,,S30P3,362.7,56.1,21,17,,0.62,0.77,846.2,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,55.6,14,201.5,0,0,347.3,0.5,0.28,3,2.16,20,,Ambient,50,50,50,,55
,,S70P1,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,1,2.16,20,,Ambient,50,50,50,,55
,,S70P2,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,2,2.16,20,,Ambient,50,50,50,,55
,,S70P3,878.1,56.1,21,17,,0.62,0.77,376.3,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,57.7,14,209.1,0,0,360.5,0.5,0.28,3,2.16,20,,Ambient,50,50,50,,60
,,S100P1,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,14,215.2,0,0,371,0.5,0.28,1,2.16,20,,Ambient,50,50,50,,60
,,S100P2,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,14,215.2,0,0,371,0.5,0.28,2,2.16,20,,Ambient,50,50,50,,60
,,S100P3,1291.1,56.1,21,17,,0.62,0.77,0,2.6,46,33,,10.5,0,0,0,0,0,0,0,0,59.4,,215.2,0,0,371,0.5,0.28,3,2.16,20,,Ambient,50,50,50,,65
https://doi.org/10.1016/j.conbuildmat.2018.09.138,Fracture properties of slag/fly ash-based geopolymer concrete cured in ambient temperature,SFGC-1,200,38.8,33.8,14.8,7.09,,2.49,200,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,9,,56,1074,716,145,0.45,0.36,3,1.5,21,90,Ambient,100,100,100,25,31.7
,,SFGC-2,200,38.8,33.8,14.8,7.09,,2.49,200,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,12,,74,1068,712,133,0.45,0.33,4,1.5,21,90,Ambient,100,100,100,35,49.3
,,SFGC-3,200,38.8,33.8,14.8,7.09,,2.49,200,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,15,,93,1062,708,122,0.45,0.305,5,1.5,21,90,Ambient,100,100,100,45,58.2
,,SFGC-4,200,38.8,33.8,14.8,7.09,,2.49,200,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,19,,62,1068,712,139,0.45,0.35,5,1,21,90,Ambient,100,100,100,32,44.4
,,SFGC-5,200,38.8,33.8,14.8,7.09,,2.49,200,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,12,,124,1056,704,104,0.45,0.26,5,2,21,90,Ambient,100,100,100,46,65
,,SFGC-6,200,38.8,33.8,14.8,7.09,,2.49,200,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,15,,93,1074,716,102,0.4,0.255,5,1.5,21,90,Ambient,100,100,100,48,65.7
,,SFGC-7,200,38.8,33.8,14.8,7.09,,2.49,200,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,15,,93,1050,700,142,0.5,0.355,5,1.5,21,90,Ambient,100,100,100,34,42.3
,,SFGC-8,300,38.8,33.8,14.8,7.09,,2.49,100,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,12,,74,1068,712,133,0.45,0.33,4,1.5,21,90,Ambient,100,100,100,40,52.1
,,SFGC-9,400,38.8,33.8,14.8,7.09,,2.49,0,1.32,52.6,34.1,7.09,,0.33,0,0,0,0,0,0,0,12,,74,1068,712,133,0.45,0.33,4,1.5,21,90,Ambient,100,100,100,48,63.1
https://doi.org/10.1016/j.conbuildmat.2023.131168,"Fly ash, GGBS, and silica fume based geopolymer concrete with recycled aggregates: Properties and environmental impacts",GPC-FG30,128,43.17,31.65,12.4,5.8,0.37,0.98,298,2.36,54.99,28.72,0.37,3.05,0.12,0,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,20.7,36.6
,,GPC-FG40,170,43.17,31.65,12.4,5.8,0.37,0.98,256,2.36,54.99,28.72,0.37,3.05,0.12,0,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,24.5,39.2
,,GPC-FG50,213,43.17,31.65,12.4,5.8,0.37,0.98,213,2.36,54.99,28.72,0.37,3.05,0.12,0,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,26,41.8
,,GPC-FG60,256,43.17,31.65,12.4,5.8,0.37,0.98,170,2.36,54.99,28.72,0.37,3.05,0.12,0,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,24.7,38.2
,,GPC-MG5,213,43.17,31.65,12.4,5.8,0.37,0.98,191,2.36,54.99,28.72,0.37,3.05,0.12,22,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,27.1,43.2
,,GPC-MG10,213,43.17,31.65,12.4,5.8,0.37,0.98,170,2.36,54.99,28.72,0.37,3.05,0.12,43,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,30.1,49.2
,,GPC-MG15,213,43.17,31.65,12.4,5.8,0.37,0.98,149,2.36,54.99,28.72,0.37,3.05,0.12,64,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,33.3,52.2
,,GPC-MG20,213,43.17,31.65,12.4,5.8,0.37,0.98,127,2.36,54.99,28.72,0.37,3.05,0.12,86,0.4,93.74,0.19,0.17,0.95,0.34,61,12,152,1108,596,0,0.5,0,0,2.5,,,Ambient,150,150,150,28.7,47.5
https://doi.org/10.1016/j.conbuildmat.2025.142374,A comprehensive study on alkali-activated slag-based concrete: Mechanical properties and sustainability evaluation,W0.35,500,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,4.3,,193.9,1104,621,65.8,0.4,0.13,4,2,20,65,Ambient,100,100,100,67.55,73.19
,,W0.42,417,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,59.64,65.5
,,W0.50,350,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,3,,135.8,1050,825,98.6,0.4,0.28,2.8,2,20,65,Ambient,100,100,100,53.61,55.89
,,N2,417,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,1.2,,53.9,1085,724,144.7,0.4,0.34,3.3,2,20,65,Ambient,100,100,100,46.8,49.85
,,N4,417,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,2.4,,107.8,1085,724,114.3,0.4,0.274,3.3,2,20,65,Ambient,100,100,100,55.25,62.51
,,N8,417,36.82,26.75,19.66,11.1,0.32,2.65,0,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,4.8,,215.7,1085,724,53.7,0.4,0.12,3.3,2,20,65,Ambient,100,100,100,70.24,75.89
,,FA10,375.3,36.82,26.75,19.66,11.1,0.32,2.65,41.7,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,64.73,67.81
,,FA20,333.6,36.82,26.75,19.66,11.1,0.32,2.65,83.4,5.6,45.1,24.2,1.21,0.85,2.1,0,0.12,96.65,0.31,0.11,0.07,1.21,3.6,,161.8,1085,724,84,0.4,0.2,3.3,2,20,65,Ambient,100,100,100,67.17,69.33
