GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,GGBS_MgO_%,GGBS_Fe2O3_%,GGBS_SO3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,FA_MgO_%,FA_Fe2O3_%,FA_SO3_%,SF_kg_m3,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,SF_MgO_%,SF_Fe2O3_%,SF_SO3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Water (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,SiO2 to Na2O (silicate modulus),Curing_Temperature,Relative Humidity,Condition,Length (mm),Breadth (mm),height (mm),CS 7 day (Mpa),CS 28 day (Mpa)
1291.1,56.1,21.0,17.0,7.09,0.62,0.77,0.0,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,14.0,215.2,0.0,0.0,371.0,0.5,0.28,2.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,60.0
1291.1,56.1,21.0,17.0,7.09,0.62,0.77,0.0,2.6,46.0,33.0,0.63,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.4,10.0,215.2,0.0,0.0,371.0,0.5,0.28,3.0,2.16,20.0,65.0,0,50.0,50.0,50.0,34.0,65.0
200.0,38.8,33.8,14.8,7.09,0.62,2.49,200.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,56.0,1074.0,716.0,145.0,0.45,0.36,3.0,1.5,21.0,90.0,0,100.0,100.0,100.0,25.0,31.7
200.0,38.8,33.8,14.8,7.09,0.62,2.49,200.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,74.0,1068.0,712.0,133.0,0.45,0.33,4.0,1.5,21.0,90.0,0,100.0,100.0,100.0,35.0,49.3
200.0,38.8,33.8,14.8,7.09,0.62,2.49,200.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,93.0,1062.0,708.0,122.0,0.45,0.305,5.0,1.5,21.0,90.0,0,100.0,100.0,100.0,45.0,58.2
200.0,38.8,33.8,14.8,7.09,0.62,2.49,200.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,62.0,1068.0,712.0,139.0,0.45,0.35,5.0,1.0,21.0,90.0,0,100.0,100.0,100.0,32.0,44.4
200.0,38.8,33.8,14.8,7.09,0.62,2.49,200.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,124.0,1056.0,704.0,104.0,0.45,0.26,5.0,2.0,21.0,90.0,0,100.0,100.0,100.0,46.0,65.0
200.0,38.8,33.8,14.8,7.09,0.62,2.49,200.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,93.0,1074.0,716.0,102.0,0.4,0.255,5.0,1.5,21.0,90.0,0,100.0,100.0,100.0,48.0,65.7
200.0,38.8,33.8,14.8,7.09,0.62,2.49,200.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,93.0,1050.0,700.0,142.0,0.5,0.355,5.0,1.5,21.0,90.0,0,100.0,100.0,100.0,34.0,42.3
300.0,38.8,33.8,14.8,7.09,0.62,2.49,100.0,1.32,52.6,34.1,7.09,4.24,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,74.0,1068.0,712.0,133.0,0.45,0.33,4.0,1.5,21.0,90.0,0,100.0,100.0,100.0,40.0,52.1
