GGBS_kg_m3,GGBS_CaO_%,GGBS_SiO2_%,GGBS_Al2O3_%,FlyAsh_kg_m3,FA_CaO_%,FA_SiO2_%,FA_Al2O3_%,SF_CaO_%,SF_SiO2_%,SF_Al2O3_%,Total NaOH (kg in 1m3 mix),Concentration (M) NaOH,Total Na2SiO3 (kg in 1m3 of mix),Coarse Aggregate (kg/m3),Fine Aggregates (kg/m3),Activator_Binder_Ratio,Water_Binder_Ratio,Superplasticizer_%,Relative Humidity,CS 7 day (Mpa),CS 28 day (Mpa),Total_Binders,Total_SiO2,Total_CaO,Total_Al2O3,SiO2 / Al2O3,CaO / Al2O3,CaO / SiO2
256.0,38.81,33.81,14.78,110.0,1.24,54.22,31.18,0.0,0.0,0.0,5.57,10.0,78.31,1163.0,744.0,0.6,0.35,0.0,55.0,34.0,62.54,366.0,39.944153005464486,27.518469945355193,19.70896174863388,2.026700011644865,2.026700011644865,0.6889236064560083
213.0,38.81,33.81,14.78,174.0,1.24,54.22,31.18,0.0,0.0,0.0,5.45,10.0,38.36,1132.0,723.0,0.6,0.35,0.0,55.0,34.0,35.64,387.0,42.98658914728683,21.918062015503878,22.153643410852712,1.9403846288429645,1.9403846288429645,0.5098813944136174
208.0,38.81,33.81,14.78,139.0,1.24,54.22,31.18,0.0,0.0,0.0,4.77,10.0,70.72,1099.0,702.78,0.6,0.5,0.0,55.0,34.0,3.36,347.0,41.98576368876081,23.76034582132565,21.34945244956772,1.9665967447146837,1.9665967447146837,0.565914341762612
208.0,38.81,33.81,14.78,139.0,1.24,54.22,31.18,0.0,0.0,0.0,3.18,10.0,47.15,1067.0,703.0,0.6,0.5,0.0,55.0,34.0,1.25,347.0,41.98576368876081,23.76034582132565,21.34945244956772,1.9665967447146837,1.9665967447146837,0.565914341762612
208.0,38.81,33.81,14.78,139.0,1.24,54.22,31.18,0.0,0.0,0.0,4.77,10.0,70.72,1067.0,702.78,0.6,0.5,0.0,55.0,34.0,7.82,347.0,41.98576368876081,23.76034582132565,21.34945244956772,1.9665967447146837,1.9665967447146837,0.565914341762612
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,7.19,10.0,106.61,1099.0,682.11,0.6,0.5,0.0,55.0,34.0,51.35,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,4.49,10.0,66.63,1132.0,682.0,0.6,0.45,0.0,55.0,34.0,48.65,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,7.19,10.0,106.61,1163.0,682.11,0.6,0.45,0.0,55.0,34.0,72.68,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
355.0,38.81,33.81,14.78,89.0,1.24,54.22,31.18,0.0,0.0,0.0,8.13,10.0,120.6,1132.0,661.44,0.6,0.45,0.0,55.0,34.0,89.98,444.0,37.9011936936937,31.279076576576582,18.067387387387388,2.0977683646807748,2.0977683646807748,0.8252794576699848
355.0,38.81,33.81,14.78,89.0,1.24,54.22,31.18,0.0,0.0,0.0,3.1,10.0,90.45,1163.0,661.0,0.6,0.45,0.0,55.0,34.0,83.26,444.0,37.9011936936937,31.279076576576582,18.067387387387388,2.0977683646807748,2.0977683646807748,0.8252794576699848
355.0,38.81,33.81,14.78,89.0,1.24,54.22,31.18,0.0,0.0,0.0,10.16,10.0,150.75,1067.0,661.44,0.6,0.4,0.0,55.0,34.0,27.25,444.0,37.9011936936937,31.279076576576582,18.067387387387388,2.0977683646807748,2.0977683646807748,0.8252794576699848
355.0,38.81,33.81,14.78,89.0,1.24,54.22,31.18,0.0,0.0,0.0,8.13,10.0,120.6,1099.0,661.44,0.6,0.4,0.0,55.0,34.0,95.21,444.0,37.9011936936937,31.279076576576582,18.067387387387388,2.0977683646807748,2.0977683646807748,0.8252794576699848
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,7.19,10.0,106.61,1099.0,661.44,0.6,0.4,0.0,55.0,34.0,73.48,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,7.19,10.0,106.61,1067.0,682.11,0.6,0.4,0.0,55.0,34.0,83.31,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,10.45,10.0,79.95,1163.0,682.11,0.6,0.35,0.0,55.0,34.0,85.62,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
275.0,38.81,33.81,14.78,118.0,1.24,54.22,31.18,0.0,0.0,0.0,13.72,10.0,53.3,1132.0,682.11,0.6,0.35,0.0,55.0,34.0,67.51,393.0,39.938193384223915,27.52944020356234,19.70417302798982,2.026890107364142,2.026890107364142,0.6893010892785354
